ตาราง  9.5   คดีครอบครัวที่รับใหม่เกี่ยวกับการคุ้มครองผู้เยาว์ จำแนกตามกิจกรรม พ.ศ. 2565 - 2566,,,,
Table  9.5  Family Civil Cases Concerning the Protection of Juvenile's Rights by Activities: 2022 - 2023     ,,,,
,,,,
กิจกรรม,2565 (2022),2566 (2023),อัตราการเปลี่ยนแปลง (Percent change),Activities
รวมยอด,9793,10809,10.4,Total
อำนาจปกครองบุตร/ค่าอุปการะเลี้ยงดู,3092,844,-72.7,Power of administration/Alimony claim
ขออนุญาตสมรส,7,10,42.9,Marriage
จำนอง/ภาระจำยอม/สิทธิอาศัย,31,-,-100.0,Mortgage/Servitude/Right of habitation
ให้มี/เพิกถอน การรับบุตรบุญธรรม,209,225,7.7,Revocable/Revocation of adoption
แบ่งแยกที่ดิน/แบ่งสินสมรส,121,26,-78.5,Partition of land/Division of marital property
ขอให้/เพิกถอน การรับรองบุตร,2332,3251,39.4,Validation of child/Revocation of child legitionation
เรียกค่าทดแทน/ค่าเลี้ยงชีพ/ค่าเสียหาย,97,16,-83.5,Compensation/Alimony/Damages
เรียกคืนบุตร,206,189,-8.3,Return of child
ขอทำนิติกรรมแทนผู้เยาว์/ผู้เสมือนไร้ความสามารถ/ผู้ไร้ความสามารถ,-,508,100.0,Request to perform legal acts on behalf of a minor/Quasi-incompetent/Incompetent
ไร้ความสามารถ/เสมือนไร้ความสามารถ,230,225,-2.2,Incompetent/Quasi-incompetent
ขอให้ศาลพิพากษาว่าเป็นบุตรของบิดา,-,234,100.0,Request the Court to adjudicate as the child of the father 
สั่งเป็นบุตรผู้วายชนม์,723,826,14.2,Deceased son
ตั้งผู้ปกครอง,-,395,100.0,Appoint a guardian
ถอนอำนาจปกครอง/ตั้งผู้ปกครอง,-,436,100.0,Revoke a guardianship/Appoint a guardian
ขอเป็นผู้ปกครอง,656,-,-100.0,Guardianship
ผิดสัญญาหย่า,-,260,100.0,Breach of divorce agreement
หย่า,-,3278,100.0,Divorce
อื่นๆ,1464,86,-94.1,Others
ไม่ระบุ,625,-,-100.0,Unknown
,,,,
    ที่มา:  กรมพินิจและคุ้มครองเด็กและเยาวชน  กระทรวงยุติธรรม,,,,
"Source:  Department of Juvenile Observation and Protection,  Ministry of Justice ",,,,
